case_id,attempt,type,difficulty,language,info_mode,status,stop_reason,iterations,wall_seconds,agent_seconds,llm_calls,prompt_tokens,completion_tokens,cost_usd,cost_source,overall_accuracy,strict_correct,false_convergence
vi-crowdfunding-L1-007,1,crowdfunding,1,vi,complete,done,ok,1,0.0006034999969415367,0.0006034999969415367,0,0,0,,unknown,1.0,True,False
en-swap-L1-004,1,swap,1,en,complete,done,ok,1,0.0003321000258438289,0.0003321000258438289,0,0,0,,unknown,1.0,True,False
vi-milestone-L1-007,1,milestone,1,vi,complete,done,ok,1,0.0005002000252716243,0.0005002000252716243,0,0,0,,unknown,1.0,True,False
vi-cancellation_fee-L3-005,1,cancellation_fee,3,vi,ambiguous,done,ok,1,0.0005528999608941376,0.0005528999608941376,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L3-007,1,escrow_3party,3,vi,missing,done,ok,1,0.0005273999995552003,0.0005273999995552003,0,0,0,,unknown,1.0,True,False
en-escrow_3party-L3-003,1,escrow_3party,3,en,missing,done,ok,1,0.0005726000526919961,0.0005726000526919961,0,0,0,,unknown,1.0,True,False
vi-milestone-L3-008,1,milestone,3,vi,complete,done,ok,1,0.0004369000089354813,0.0004369000089354813,0,0,0,,unknown,1.0,True,False
en-swap-L1-002,1,swap,1,en,complete,done,ok,1,0.00028490001568570733,0.00028490001568570733,0,0,0,,unknown,1.0,True,False
vi-loan-L2-003,1,loan,2,vi,ambiguous,done,ok,1,0.0004887000541202724,0.0004887000541202724,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L2-008,1,escrow_3party,2,vi,missing,done,ok,1,0.0007440000190399587,0.0007440000190399587,0,0,0,,unknown,1.0,True,False
vi-vesting-L3-009,1,vesting,3,vi,complete,done,ok,1,0.0002865000278688967,0.0002865000278688967,0,0,0,,unknown,1.0,True,False
vi-infeasible-L2-001,1,infeasible,2,vi,infeasible,done,ok,1,9.350001346319914e-05,9.350001346319914e-05,0,0,0,,unknown,,False,True
